"TIME","GEO","UNIT","INDIC_FO","Value","Flag and Footnotes"
"1990","Croatia","Thousand hectares","Forests","1,850.00",""
"1990","Italy","Thousand hectares","Forests","7,590.00",""
"1990","Hungary","Thousand hectares","Forests","1,801.26",""
"1990","Austria","Thousand hectares","Forests","3,776.00",""
"1990","Slovenia","Thousand hectares","Forests","1,188.00",""
"2000","Croatia","Thousand hectares","Forests","1,885.00",""
"2000","Italy","Thousand hectares","Forests","8,369.00",""
"2000","Hungary","Thousand hectares","Forests","1,907.51",""
"2000","Austria","Thousand hectares","Forests","3,838.00",""
"2000","Slovenia","Thousand hectares","Forests","1,233.00",""
"2005","Croatia","Thousand hectares","Forests","1,903.00",""
"2005","Italy","Thousand hectares","Forests","8,759.00",""
"2005","Hungary","Thousand hectares","Forests","1,983.28",""
"2005","Austria","Thousand hectares","Forests","3,851.00",""
"2005","Slovenia","Thousand hectares","Forests","1,243.00",""
"2010","Croatia","Thousand hectares","Forests","1,920.00",""
"2010","Italy","Thousand hectares","Forests","9,028.00",""
"2010","Hungary","Thousand hectares","Forests","2,046.39",""
"2010","Austria","Thousand hectares","Forests","3,860.00",""
"2010","Slovenia","Thousand hectares","Forests","1,247.00",""
"2015","Croatia","Thousand hectares","Forests","1,922.00",""
"2015","Italy","Thousand hectares","Forests","9,297.00",""
"2015","Hungary","Thousand hectares","Forests","2,069.13",""
"2015","Austria","Thousand hectares","Forests","3,869.00",""
"2015","Slovenia","Thousand hectares","Forests","1,248.00",""
