"GEO","ISCED11","TIME","SEX","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"Croatia","All ISCED 2011 levels ","2008","Total","Thousand","Employed persons","Forestry and logging","13.0","b"
"Croatia","All ISCED 2011 levels ","2008","Males","Thousand","Employed persons","Forestry and logging","10.2","b"
"Croatia","All ISCED 2011 levels ","2008","Females","Thousand","Employed persons","Forestry and logging","2.7","bu"
"Croatia","All ISCED 2011 levels ","2009","Total","Thousand","Employed persons","Forestry and logging","10.6",""
"Croatia","All ISCED 2011 levels ","2009","Males","Thousand","Employed persons","Forestry and logging","9.1","u"
"Croatia","All ISCED 2011 levels ","2009","Females","Thousand","Employed persons","Forestry and logging","1.4","u"
"Croatia","All ISCED 2011 levels ","2010","Total","Thousand","Employed persons","Forestry and logging","10.3",""
"Croatia","All ISCED 2011 levels ","2010","Males","Thousand","Employed persons","Forestry and logging","9.3","u"
"Croatia","All ISCED 2011 levels ","2010","Females","Thousand","Employed persons","Forestry and logging",":","u"
"Croatia","All ISCED 2011 levels ","2011","Total","Thousand","Employed persons","Forestry and logging","13.8",""
"Croatia","All ISCED 2011 levels ","2011","Males","Thousand","Employed persons","Forestry and logging","12.1",""
"Croatia","All ISCED 2011 levels ","2011","Females","Thousand","Employed persons","Forestry and logging","1.8","u"
"Croatia","All ISCED 2011 levels ","2012","Total","Thousand","Employed persons","Forestry and logging","14.4",""
"Croatia","All ISCED 2011 levels ","2012","Males","Thousand","Employed persons","Forestry and logging","12.4",""
"Croatia","All ISCED 2011 levels ","2012","Females","Thousand","Employed persons","Forestry and logging","1.9","u"
"Croatia","All ISCED 2011 levels ","2013","Total","Thousand","Employed persons","Forestry and logging","10.5",""
"Croatia","All ISCED 2011 levels ","2013","Males","Thousand","Employed persons","Forestry and logging","9.7","u"
"Croatia","All ISCED 2011 levels ","2013","Females","Thousand","Employed persons","Forestry and logging",":","u"
